GP,MIN,FGM,FG%,3P Made,3P%,FTA,FT%,OREB,REB,AST,STL,BLK,TOV,target_5yrs,EFF_RATING,AST_TO_RATIO,REB_PER_MIN
52,36.3,2.1,0.538,1.6,0.327,8.2,0.732,1.6,2.7,1.9,0.9,0.4,4.5,1,0.025,0.4221,0.0744
15,30.9,1.2,0.444,0.8,0.348,8.4,0.738,0.7,6.4,0.7,1.6,2.0,5.0,1,0.3133,0.14,0.2071
72,8.0,0.2,0.4,0.1,0.5,4.5,0.733,1.5,4.4,8.7,1.9,1.1,2.9,0,0.1694,2.999,0.5499
61,18.8,4.5,0.421,2.2,0.265,7.3,0.63,1.5,4.9,7.9,1.8,2.2,3.9,1,0.241,2.0251,0.2606
21,34.0,3.1,0.47,0.1,0.5,9.8,0.643,4.0,5.4,5.7,2.7,1.2,4.3,1,0.4905,1.3253,0.1588
75,36.2,1.8,0.474,1.8,0.257,3.3,0.848,4.0,5.3,0.8,2.7,1.9,3.6,1,0.112,0.2222,0.1464
75,20.4,5.9,0.527,1.6,0.333,8.6,0.779,0.5,6.7,5.3,2.9,2.3,0.4,1,0.2773,13.217,0.3284
24,25.2,0.8,0.471,2.9,0.372,3.8,0.763,2.9,10.5,3.0,2.0,1.6,1.0,0,0.6667,2.997,0.4167
3,10.5,5.9,0.527,1.5,0.259,5.4,0.778,0.2,5.7,5.6,2.9,1.6,0.5,1,6.6667,11.1776,0.5428
22,37.7,2.3,0.39,0.2,0.5,7.5,0.667,0.1,6.1,2.6,2.5,0.3,0.2,1,0.5045,12.9353,0.1618
53,12.6,6.3,0.362,1.7,0.315,9.1,0.736,0.4,6.8,0.7,0.8,1.2,1.7,0,0.2208,0.4115,0.5396
2,36.1,3.6,0.36,2.5,0.325,2.4,0.708,3.9,6.8,7.3,1.3,1.6,2.1,1,8.9,3.4745,0.1884
30,26.4,4.3,0.374,3.0,0.411,7.9,0.658,3.8,6.4,3.0,0.7,1.4,1.4,1,0.39,2.1413,0.2424
38,25.1,6.3,0.417,1.3,0.351,5.4,0.667,0.8,1.4,4.5,0.0,2.7,0.5,1,0.3316,8.982,0.0558
2,21.9,1.6,0.4,1.0,0.303,2.2,0.864,0.6,3.7,1.3,0.6,2.7,2.7,0,3.45,0.4813,0.1689
64,12.6,5.4,0.478,2.7,0.29,7.9,0.684,1.0,3.7,8.0,0.0,2.5,1.5,1,0.2438,5.3298,0.2936
60,10.8,2.0,0.408,0.6,0.5,5.1,0.765,2.1,3.3,5.7,2.2,1.1,4.0,1,0.1517,1.4246,0.3055
21,12.3,2.1,0.447,1.8,0.257,5.7,0.807,2.3,4.5,9.0,1.3,2.2,0.2,0,0.8476,44.7761,0.3658
33,11.2,2.0,0.435,1.2,0.429,2.6,0.885,0.9,2.5,5.0,0.9,1.2,4.2,0,0.2152,1.1902,0.2232
76,30.7,3.1,0.392,0.1,0.5,4.6,0.739,3.0,10.6,9.4,2.3,0.7,4.8,0,0.2645,1.9579,0.3453
58,16.6,0.9,0.474,1.0,0.4,5.5,0.782,1.2,3.0,8.9,2.5,1.0,3.6,1,0.1983,2.4715,0.1807
22,6.9,3.5,0.473,0.8,0.471,3.4,0.824,3.7,8.6,5.8,2.9,0.2,3.7,1,0.7591,1.5671,1.2462
49,37.0,3.5,0.368,2.1,0.447,2.0,0.7,2.6,8.0,9.3,1.9,1.0,4.7,1,0.3755,1.9783,0.2162
59,34.2,5.7,0.538,2.8,0.252,9.9,0.677,1.7,6.3,3.2,1.4,1.4,1.2,0,0.2305,2.6644,0.1842
42,35.6,4.4,0.436,0.8,0.381,4.4,0.818,3.2,4.7,3.7,0.9,2.9,5.0,1,0.2571,0.7399,0.132
60,37.8,2.4,0.369,2.4,0.444,5.7,0.895,3.3,6.2,0.5,0.7,0.9,3.9,1,0.1033,0.1282,0.164
80,10.7,2.2,0.415,0.2,0.5,4.4,0.659,1.2,2.3,5.9,0.6,2.7,3.7,1,0.1062,1.5942,0.2149
15,18.1,1.6,0.421,1.6,0.291,2.8,0.893,1.4,5.3,7.2,1.2,0.7,1.9,0,0.92,3.7875,0.2928
