Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,target_5yrs
Player_0,52,36.3,11.9,2.1,3.9,0.538,1.6,4.9,0.327,6.0,8.2,0.732,1.6,1.0,2.7,1.9,0.9,0.4,4.5,1
Player_1,15,30.9,,1.2,2.7,0.444,0.8,2.3,0.348,6.2,8.4,0.738,0.7,7.6,,0.7,1.6,2.0,5.0,1
Player_2,72,8.0,1.2,0.2,0.5,0.4,0.1,0.2,0.5,3.3,4.5,0.733,1.5,2.6,4.4,8.7,1.9,1.1,2.9,0
Player_3,61,18.8,22.8,4.5,10.7,0.421,2.2,8.3,0.265,4.6,7.3,0.63,1.5,3.4,4.9,7.9,1.8,2.2,3.9,1
Player_4,21,34.0,14.0,3.1,6.6,0.47,0.1,0.2,0.5,6.3,9.8,0.643,4.0,1.2,5.4,5.7,2.7,1.2,4.3,1
Player_5,75,36.2,9.0,1.8,3.8,0.474,1.8,7.0,0.257,2.8,3.3,0.848,4.0,1.3,5.3,0.8,2.7,1.9,3.6,1
Player_6,75,20.4,27.1,5.9,11.2,0.527,1.6,4.8,0.333,6.7,8.6,0.779,0.5,6.0,6.7,,2.9,2.3,0.4,1
Player_7,24,25.2,3.9,0.8,1.7,0.471,2.9,7.8,0.372,2.9,3.8,0.763,2.9,7.6,10.5,3.0,2.0,1.6,1.0,0
Player_8,3,10.5,28.7,5.9,11.2,0.527,1.5,5.8,0.259,4.2,5.4,0.778,0.2,5.1,5.7,5.6,2.9,1.6,0.5,1
Player_9,22,37.7,9.8,2.3,5.9,0.39,0.2,0.4,0.5,5.0,7.5,0.667,0.1,5.9,6.1,2.6,2.5,0.3,0.2,1
Player_10,53,12.6,26.7,6.3,17.4,0.362,1.7,5.4,0.315,6.7,9.1,0.736,0.4,6.2,6.8,0.7,0.8,1.2,1.7,0
Player_11,2,36.1,18.3,3.6,10.0,0.36,2.5,7.7,0.325,1.7,2.4,0.708,3.9,2.5,6.8,7.3,1.3,1.6,2.1,1
Player_12,30,26.4,24.9,4.3,11.5,0.374,3.0,7.3,0.411,5.2,7.9,0.658,3.8,0.8,,3.0,0.7,1.4,1.4,1
Player_13,38,25.1,29.5,6.3,15.1,0.417,1.3,3.7,0.351,3.6,5.4,0.667,0.8,0.5,1.4,4.5,0.0,2.7,0.5,1
Player_14,2,21.9,9.0,1.6,4.0,0.4,1.0,3.3,0.303,1.9,2.2,0.864,0.6,3.1,3.7,1.3,0.6,2.7,2.7,0
Player_15,64,12.6,28.9,5.4,11.3,0.478,2.7,9.3,0.29,5.4,7.9,0.684,1.0,2.3,3.7,8.0,0.0,2.5,1.5,1
Player_16,60,10.8,12.0,2.0,4.9,0.408,0.6,1.2,0.5,3.9,5.1,0.765,2.1,1.0,3.3,5.7,2.2,1.1,4.0,1
Player_17,21,12.3,11.9,2.1,4.7,0.447,1.8,7.0,0.257,4.6,5.7,0.807,2.3,1.8,4.5,9.0,1.3,2.2,0.2,0
Player_18,33,11.2,10.5,2.0,4.6,0.435,1.2,2.8,0.429,2.3,2.6,0.885,0.9,1.4,2.5,5.0,0.9,1.2,4.2,0
Player_19,76,30.7,16.5,3.1,7.9,0.392,0.1,0.2,0.5,3.4,4.6,0.739,3.0,7.4,10.6,9.4,2.3,0.7,4.8,0
Player_20,58,16.6,5.0,0.9,1.9,0.474,1.0,2.5,0.4,4.3,5.5,0.782,1.2,1.6,3.0,8.9,2.5,1.0,3.6,1
Player_21,22,6.9,16.8,3.5,7.4,0.473,0.8,1.7,0.471,2.8,3.4,0.824,3.7,4.5,8.6,5.8,2.9,0.2,3.7,1
Player_22,49,37.0,16.5,3.5,9.5,0.368,2.1,4.7,0.447,1.4,2.0,0.7,2.6,4.9,8.0,9.3,1.9,1.0,4.7,1
Player_23,59,34.2,23.0,5.7,10.6,0.538,2.8,11.1,0.252,6.7,9.9,0.677,1.7,4.6,6.3,3.2,1.4,1.4,1.2,0
Player_24,42,35.6,25.1,4.4,10.1,0.436,0.8,2.1,0.381,3.6,4.4,0.818,3.2,1.2,4.7,3.7,0.9,2.9,5.0,1
Player_25,60,37.8,13.5,2.4,6.5,0.369,2.4,5.4,0.444,5.1,5.7,0.895,3.3,2.9,6.2,0.5,0.7,0.9,3.9,1
Player_26,80,10.7,9.4,2.2,5.3,0.415,0.2,0.4,0.5,2.9,4.4,0.659,1.2,0.9,2.3,5.9,0.6,2.7,3.7,1
Player_27,15,18.1,8.2,1.6,3.8,0.421,1.6,5.5,0.291,2.5,2.8,0.893,1.4,3.5,5.3,7.2,1.2,0.7,1.9,0
Player_28,62,30.0,6.2,1.3,2.7,0.481,0.2,0.7,0.286,2.9,4.5,0.644,3.7,1.9,5.8,7.7,3.0,0.6,2.8,0
Player_29,62,28.0,2.2,0.5,1.1,0.455,2.8,7.0,0.4,2.9,4.1,0.707,0.7,4.7,5.9,1.5,0.0,1.6,3.3,0
Player_30,47,10.1,,1.8,4.8,0.375,2.3,4.7,0.489,3.8,4.8,0.792,0.2,5.7,6.2,4.4,0.6,2.0,3.2,1
Player_31,62,31.9,8.5,1.9,4.5,0.422,2.0,4.9,0.408,3.8,4.6,0.826,1.8,4.5,6.8,1.8,0.6,0.1,3.6,0
Player_32,51,12.4,29.0,7.0,16.2,0.432,2.5,5.3,0.472,3.5,3.9,0.897,3.2,3.8,7.4,6.6,2.2,0.7,0.6,1
